,Kod stacji,Nazwa stacji,Rok,Średnia temperatura maksymalna [°C],Średnia temperatura minimalna,Minimalna temperatura przy gruncie [°C],Miesieczna suma opadów,Liczba dni z opadem deszczu,Średnia miesięczna wilgotność względna [%]
0,249180010,PSZCZYNA,2015,24.3,11.575,2.35,50.050000000000004,11.0,0.0
1,249180010,PSZCZYNA,2016,23.325,10.55,3.125,97.375,14.0,0.0
2,249180010,PSZCZYNA,2017,24.2,11.925,2.575,79.625,14.25,0.0
3,249180010,PSZCZYNA,2018,24.9,13.225,3.9250000000000003,91.575,12.0,0.0
4,249180010,PSZCZYNA,2019,24.575,11.675,4.575,84.8,13.5,0.0
5,249180010,PSZCZYNA,2020,23.0,11.05,2.575,120.025,15.75,0.0
6,249180010,PSZCZYNA,2021,23.425,11.5,3.1500000000000004,128.5,15.5,0.0
7,249180010,PSZCZYNA,2022,24.25,11.675,3.25,88.475,12.0,0.0
8,249180010,PSZCZYNA,2023,23.45,11.325,2.5250000000000004,89.025,12.5,0.0
9,249180160,BRENNA,2015,23.65,12.075,2.1,74.975,13.25,0.0
10,249180160,BRENNA,2016,22.5,11.325,2.1,102.075,14.75,0.0
11,249180160,BRENNA,2017,23.375,11.55,1.125,90.45,13.25,0.0
12,249180160,BRENNA,2018,24.15,12.65,2.525,121.1,13.5,0.0
13,249180160,BRENNA,2019,23.975,12.5,5.375,129.425,14.75,0.0
14,249180160,BRENNA,2020,22.7,11.2,3.85,194.05,16.25,0.0
15,249180160,BRENNA,2021,24.525,11.9,2.2,161.02499999999998,17.5,0.0
16,249180160,BRENNA,2022,23.725,12.3,4.675000000000001,104.125,13.0,0.0
17,249180160,BRENNA,2023,22.85,11.95,2.3,117.1,14.75,0.0
18,249190090,INWAŁD,2015,19.75,11.05,0.0,67.9,14.0,0.0
19,249190190,MAKÓW PODHALAŃSKI,2015,20.5,8.75,0.0,61.1,8.5,0.0
20,249190350,ZAWOJA,2015,21.65,9.925,0.09999999999999998,93.7,11.5,0.0
21,249190350,ZAWOJA,2016,20.133333333333333,8.333333333333334,-0.5666666666666667,105.86666666666667,13.666666666666666,0.0
22,249190350,ZAWOJA,2017,21.375,9.775,0.09999999999999998,123.225,14.25,0.0
23,249190350,ZAWOJA,2018,20.400000000000002,10.033333333333333,0.6,183.20000000000002,16.333333333333332,0.0
24,249190350,ZAWOJA,2019,21.375,10.3,-0.024999999999999856,115.475,12.25,0.0
25,249190480,LALIKI,2015,21.725,10.85,1.05,58.625,12.0,0.0
26,249190480,LALIKI,2016,20.525,10.05,1.0750000000000002,122.55000000000001,15.25,0.0
27,249190480,LALIKI,2017,21.25,10.9,0.4999999999999999,101.625,14.5,0.0
28,249190480,LALIKI,2018,21.95,11.925,1.8,95.275,13.75,0.0
29,249190480,LALIKI,2019,15.575,8.125,1.3,96.525,10.0,0.0
30,249190480,LALIKI,2020,19.375,9.65,0.0,128.625,16.0,0.0
31,249190480,LALIKI,2021,20.45,10.475,0.0,149.14999999999998,14.25,0.0
32,249190520,OBIDOWA,2015,20.9,10.15,0.0,74.8,12.75,0.0
33,249190520,OBIDOWA,2016,19.65,10.0,0.0,111.375,15.0,0.0
34,249190520,OBIDOWA,2017,20.45,10.225,0.0,100.89999999999999,16.5,0.0
35,249190520,OBIDOWA,2018,20.6,11.475,0.0,131.7,15.25,0.0
36,249190520,OBIDOWA,2019,13.2,5.1,0.0,176.8,18.0,0.0
37,249190560,JABŁONKA,2015,22.7,7.575,0.0,45.300000000000004,10.75,0.0
38,249190560,JABŁONKA,2016,21.525,7.824999999999999,0.0,95.375,15.25,0.0
39,249190560,JABŁONKA,2017,22.3,8.075,0.0,74.15,14.75,0.0
40,249190560,JABŁONKA,2018,22.45,9.45,0.0,94.825,16.25,0.0
41,249190560,JABŁONKA,2019,22.125,8.8,0.0,86.69999999999999,14.25,0.0
42,249190560,JABŁONKA,2020,20.85,7.949999999999999,0.0,89.825,16.5,0.0
43,249190560,JABŁONKA,2021,21.575,8.3,0.0,123.19999999999999,17.25,0.0
44,249190560,JABŁONKA,2022,23.025,8.5,0.0,66.75,13.5,0.0
45,249190560,JABŁONKA,2023,21.75,8.25,0.0,102.4,14.0,0.0
46,249190670,POLANA CHOCHOŁOWSKA,2015,18.2,8.4,0.0,132.20000000000002,15.75,0.0
47,249190670,POLANA CHOCHOŁOWSKA,2016,17.1,7.0,0.0,185.725,17.75,0.0
48,249190670,POLANA CHOCHOŁOWSKA,2017,18.075,8.35,0.0,167.0,16.0,0.0
49,249190670,POLANA CHOCHOŁOWSKA,2018,17.925,8.75,0.0,243.675,19.75,0.0
50,249190670,POLANA CHOCHOŁOWSKA,2019,17.6,8.350000000000001,0.0,173.75,19.5,0.0
51,249190670,POLANA CHOCHOŁOWSKA,2020,16.4,7.075,0.0,234.625,17.75,0.0
52,249190670,POLANA CHOCHOŁOWSKA,2021,14.325000000000001,7.075,0.0,169.35,12.5,0.0
53,249190670,POLANA CHOCHOŁOWSKA,2022,18.475,8.45,0.0,141.075,17.0,0.0
54,249190670,POLANA CHOCHOŁOWSKA,2023,17.875,8.025,0.0,191.875,16.0,0.0
55,249190680,HALA ORNAK,2015,18.75,7.275,0.10000000000000003,136.575,15.75,0.0
56,249190890,RADZIECHOWY,2015,23.6,10.174999999999999,0.4749999999999999,57.5,11.5,72.025
57,249190890,RADZIECHOWY,2016,22.5,9.825,1.6,97.825,14.75,80.67500000000001
58,249190890,RADZIECHOWY,2017,24.4,10.0,0.9249999999999998,80.3,12.5,78.075
59,249190890,RADZIECHOWY,2018,24.625,11.05,3.875,90.925,13.5,79.55
60,249190890,RADZIECHOWY,2019,23.725,10.525,0.9249999999999999,100.025,12.25,74.225
61,249190890,RADZIECHOWY,2020,22.2,9.9,1.375,119.075,15.75,77.425
62,249190890,RADZIECHOWY,2021,23.35,10.225,0.3999999999999999,144.5,15.25,79.775
63,249190890,RADZIECHOWY,2022,23.675,10.25,1.8499999999999999,100.3,13.25,73.875
64,249190890,RADZIECHOWY,2023,22.775,10.05,0.19999999999999996,109.525,12.0,75.225
65,249200020,ŁAZY,2015,24.1,11.6,0.0,67.625,10.5,0.0
66,249200020,ŁAZY,2016,23.4,10.875,0.0,77.325,11.25,0.0
67,249200020,ŁAZY,2017,23.85,12.0,0.0,66.8,15.0,0.0
68,249200020,ŁAZY,2018,24.425,12.175,0.0,85.65,12.75,0.0
69,249200020,ŁAZY,2019,23.974999999999998,12.275,0.0,93.07499999999999,12.75,0.0
70,249200020,ŁAZY,2020,22.75,11.35,0.0,82.05,15.5,0.0
71,249200020,ŁAZY,2021,23.225,12.325,0.0,134.15,15.5,0.0
72,249200020,ŁAZY,2022,24.725,12.05,0.0,69.25,11.0,0.0
73,249200020,ŁAZY,2023,23.075,11.925,0.0,101.35,12.5,0.0
74,249200070,DOBCZYCE,2015,20.25,11.0,1.35,63.35,12.0,0.0
75,249200130,JASTRZĘBIA,2015,24.15,10.2,0.0,76.7,12.0,0.0
76,249200130,JASTRZĘBIA,2016,23.625,9.975,0.0,98.375,13.0,0.0
77,249200130,JASTRZĘBIA,2017,23.975,10.125,0.0,75.175,16.0,0.0
78,249200130,JASTRZĘBIA,2018,24.425,11.425,0.0,93.35,13.5,0.0
79,249200130,JASTRZĘBIA,2019,24.025,10.975,0.0,101.025,11.75,0.0
80,249200130,JASTRZĘBIA,2020,22.9,10.375,0.0,118.8,16.75,0.0
81,249200130,JASTRZĘBIA,2021,23.275,10.575,0.0,132.05,17.5,0.0
82,249200130,JASTRZĘBIA,2022,24.85,11.0,0.0,63.875,11.5,0.0
83,249200130,JASTRZĘBIA,2023,23.4,10.85,0.0,103.925,13.25,0.0
84,249200180,LIMANOWA,2015,22.875,12.3,4.175,64.45,12.5,69.9
85,249200180,LIMANOWA,2016,21.924999999999997,11.8,3.875,114.39999999999999,14.25,72.025
86,249200180,LIMANOWA,2017,22.625,12.375,3.3,87.875,15.25,72.7
87,249200180,LIMANOWA,2018,23.0,13.0,5.5,124.17500000000001,13.75,74.05
88,249200180,LIMANOWA,2019,22.325,12.775,4.7,109.425,14.25,72.175
89,249200180,LIMANOWA,2020,21.125,11.55,3.425,118.375,16.5,74.15
90,249200180,LIMANOWA,2021,21.725,11.95,4.199999999999999,167.075,16.75,72.925
91,249200180,LIMANOWA,2022,23.3,12.575,5.225,78.5,11.75,67.15
92,249200180,LIMANOWA,2023,22.075,12.25,4.225,128.25,13.0,71.025
